総回転数,回転数,大当たり,差玉
29216,640,3R（確変）,-31110
29233,16,10R（確変）,-30660
29285,51,10R（確変）,-29160
29989,690,3R（確変）,-35940
30002,12,10R（確変）,-35490
30015,12,10R（確変）,-33990
30056,40,10R（確変）,-32490
30117,60,10R（確変）,-30990
30149,31,10R（確変）,-29490
30178,28,10R（確変）,-27990
30561,356,10R*2（確変）,-30762
30599,26,10R*2（確変）,-28074
30639,39,10R（確変）,-25074
30861,202,3R（確変）,-25998
30893,31,10R（確変）,-25548
31170,276,10R*2（確変）,-26520
31552,322,3R（確変）,-27384
31564,11,10R（確変）,-26934
31601,36,10R（確変）,-25434
31737,135,3R（通常）,-24714
31895,157,3R（通常）,-26148
31957,61,3R（確変）,-26430
33344,1377,3R（確変）,-42504
33382,37,10R（確変）,-42054
33398,15,10R（確変）,-40554
33405,6,10R（確変）,-39054
33421,15,10R（確変）,-37554
33491,69,10R（確変）,-36054
33504,12,10R（確変）,-34554
33521,16,10R（確変）,-33054
33544,22,10R（確変）,-31554
33578,18,3R（通常）,-30270
34348,769,3R（通常）,-39048
35529,1180,3R（確変）,-52758
35581,51,10R（確変）,-52308
35591,9,10R（確変）,-50808
35631,39,10R（確変）,-49308
35722,90,3R（確変）,-48048
35728,5,10R（確変）,-47598
35743,14,10R（確変）,-46098
35779,35,10R（確変）,-44598
35794,14,10R（確変）,-43098
35797,2,10R（確変）,-41598
36046,224,3R（通常）,-42786
36346,299,3R（通常）,-45924
36907,560,3R（確変）,-52194
36924,16,10R（確変）,-51744
36947,22,10R（確変）,-50244
36951,3,10R（確変）,-48744
37104,121,3R（通常）,-48696
37245,140,3R（通常）,-49926
37610,364,3R（確変）,-53844
38304,678,3R（確変）,-61530
38311,6,10R（確変）,-61080
38481,169,3R（確変）,-60768
38486,4,10R（確変）,-60318
38500,13,10R（確変）,-58818
38529,28,10R（確変）,-57318
39207,677,3R（通常）,-63102
39506,298,3R（確変）,-66228
39527,0,10R（確変）,-65778
40004,476,3R（通常）,-69150
40118,113,3R（確変）,-70056
40288,162,3R（確変）,-71550
40297,8,10R（確変）,-71100
40316,18,10R（確変）,-69600
40329,12,10R（確変）,-68100
40347,17,10R（確変）,-66600
40354,6,10R（確変）,-65100
40386,31,10R（確変）,-63600
40409,22,10R（確変）,-62100
40447,0,10R（確変）,-60600
40495,47,10R（確変）,-59100
40537,41,10R（確変）,-57600
40542,4,10R（確変）,-56100
40644,54,3R（通常）,-55248
40793,148,3R（確変）,-56574
40813,19,10R（確変）,-56124
41214,380,3R（通常）,-59184
41494,279,10R*2（確変）,-62082
41514,19,10R（確変）,-59082
42045,475,10R*2（確変）,-63282
42119,73,10R（確変）,-60282
42196,76,3R（確変）,-58854
42202,5,10R（確変）,-58404
42219,16,10R（確変）,-56904
42351,119,3R（通常）,-56832
42365,13,10R*2（確変）,-56538
42371,5,10R（確変）,-53538
42387,15,10R（確変）,-52038
42434,46,10R（確変）,-50538
42441,6,10R（確変）,-49038
42691,209,3R（確変）,-50046
42696,4,10R（確変）,-49596
42707,10,10R（確変）,-48096
43018,310,10R*2（確変）,-49476
43097,78,10R（確変）,-46476
43101,3,10R（確変）,-44976
43146,44,10R（確変）,-43476
43172,25,10R（確変）,-41976
43200,27,10R（確変）,-40476
43216,15,10R（確変）,-38976
43238,21,10R（確変）,-37476
43520,281,10R*2（確変）,-38508
43537,16,10R（確変）,-35508
44160,613,3R（確変）,-41364
44205,44,10R（確変）,-40914
44233,27,10R（確変）,-39414
44251,17,10R（確変）,-37914
44277,25,10R（確変）,-36414
44332,54,10R（確変）,-34914
44338,5,10R（確変）,-33414
44369,30,10R（確変）,-31914
44432,62,10R（確変）,-30414
44461,28,10R（確変）,-28914
44798,298,3R（確変）,-30990
44830,31,10R（確変）,-30540
44886,55,10R（確変）,-29040
44906,19,10R（確変）,-27540
44910,3,10R（確変）,-26040
44946,35,10R（確変）,-24540
44961,14,10R（確変）,-23040
44984,22,10R（確変）,-21540
45183,198,3R（確変）,-21576
45506,317,3R（通常）,-24930
45715,208,3R（確変）,-26976
45721,5,10R（確変）,-26526
45730,8,10R（確変）,-25026
45744,13,10R（確変）,-23526
46019,274,10R*2（確変）,-24474
46958,879,10R*2（確変）,-32022
46992,33,10R（確変）,-29022
47161,158,3R（確変）,-29418
47171,0,10R（確変）,-28968
47179,7,10R（確変）,-27468
47218,38,10R（確変）,-25968
47232,13,10R（確変）,-24468
47931,698,10R*2（確変）,-30504
47943,11,10R（確変）,-27504
47953,9,10R（確変）,-26004
48835,881,10R*2（確変）,-34236
48861,25,10R（確変）,-31236
48879,17,10R（確変）,-29736
49209,324,3R（確変）,-32124
49237,27,10R（確変）,-31674
49241,3,10R（確変）,-30174
49242,0,10R（確変）,-28674
49270,27,10R（確変）,-27174
49787,502,3R（通常）,-31698
50179,391,3R（確変）,-35940
50216,36,10R（確変）,-35490
50256,39,10R（確変）,-33990
50340,57,3R（確変）,-33174
50352,11,10R（確変）,-32724
50389,36,10R（確変）,-31224
50401,11,10R（確変）,-29724
50412,10,10R（確変）,-28224
50459,46,10R（確変）,-26724
50510,50,10R（確変）,-25224
50511,0,10R（確変）,-23724
50581,42,3R（確変）,-22728
50657,75,10R（確変）,-22278
50751,93,3R（通常）,-21054
51031,279,10R*2（確変）,-23952
51135,49,3R（通常）,-21540
51754,618,3R（通常）,-28506
51963,208,3R（通常）,-30552
51968,4,3R（確変）,-30150
51979,10,10R（確変）,-29700
51981,1,10R（確変）,-28200
52187,205,10R*2（確変）,-28320
52234,46,10R（確変）,-25320
52257,22,10R（確変）,-23820
52294,36,10R（確変）,-22320
52339,44,10R（確変）,-20820
52360,20,10R（確変）,-19320
52376,15,10R（確変）,-17820
53100,711,3R（確変）,-24852
53105,4,10R（確変）,-24402
53295,118,3R（通常）,-24318
53471,175,3R（確変）,-25968
53769,259,10R*2（確変）,-28626
53775,5,10R（確変）,-25626
53814,31,3R（確変）,-24498
53860,45,10R（確変）,-24048
54114,253,10R*2（確変）,-24744
54125,10,10R（確変）,-21744
54131,5,10R（確変）,-20244
54167,35,10R（確変）,-18744
54221,53,10R（確変）,-17244
54265,43,10R（確変）,-15744
54267,1,10R（確変）,-14244
54833,560,3R（確変）,-19464
54844,10,10R（確変）,-19014
54858,13,10R（確変）,-17514
54871,12,10R（確変）,-16014
54978,106,3R（確変）,-14946
54997,18,10R（確変）,-14496
55049,51,10R（確変）,-12996
55101,51,10R（確変）,-11496
55104,2,10R（確変）,-9996
55127,22,10R（確変）,-8496
55242,104,3R（確変）,-8244
55265,22,10R（確変）,-7794
55272,6,10R（確変）,-6294
55919,624,3R（通常）,-12282
55999,79,3R（通常）,-12780
56079,79,10R*2（確変）,-13278
56391,306,3R（確変）,-13950
56405,13,10R（確変）,-13500
56434,28,10R（確変）,-12000
57897,1449,10R*2（確変）,-27888
57917,19,10R（確変）,-24888
57941,23,10R（確変）,-23388
57949,7,10R（確変）,-21888
57974,24,10R（確変）,-20388
57979,4,10R（確変）,-18888
58358,355,3R（確変）,-21648
58376,17,10R（確変）,-21198
58445,68,10R（確変）,-19698
58465,7,10R*2（確変）,-18282
58478,12,10R（確変）,-15282
58501,22,10R（確変）,-13782
58545,43,10R（確変）,-12282
58570,24,10R（確変）,-10782
58587,16,10R（確変）,-9282
58627,39,10R（確変）,-7782
58669,22,10R*2（確変）,-6546
58705,35,10R（確変）,-3546
58933,227,3R（確変）,-3930
58943,9,10R（確変）,-3480
58956,12,10R（確変）,-1980
59015,48,10R*2（確変）,-1056
59050,34,10R（確変）,1944
59094,43,10R（確変）,3444
59101,6,10R（確変）,4944
59102,0,10R（確変）,6444
59110,7,10R（確変）,7944
59112,1,10R（確変）,9444
59161,48,10R（確変）,10944
59194,32,10R（確変）,12444
59215,20,10R（確変）,13944
59220,4,10R（確変）,15444
59283,62,10R（確変）,16944
59350,66,10R（確変）,18444
60211,851,3R（確変）,9732
60219,7,10R（確変）,10182
60225,5,10R（確変）,11682
60252,26,10R（確変）,13182
60255,2,10R（確変）,14682
60303,47,10R（確変）,16182
60319,15,10R（確変）,17682
60327,7,10R（確変）,19182
60330,2,10R（確変）,20682
60369,38,10R（確変）,22182
60537,167,3R（通常）,22518
60947,409,3R（確変）,18060
61233,277,3R（通常）,15186
61304,70,3R（通常）,14796
62998,1693,3R（通常）,-5070
63950,951,10R*2（確変）,-16032
64034,83,10R（確変）,-13032
64090,55,10R（確変）,-11532
64100,9,10R（確変）,-10032
64746,645,3R（通常）,-15432
64833,86,3R（通常）,-16014
66028,1194,3R（確変）,-29892
66123,94,10R（確変）,-29442
66307,176,10R*2（確変）,-30054
67488,1175,3R（通常）,-41154
67562,73,10R*2（確変）,-41580
67762,141,3R（確変）,-40272
67769,6,10R（確変）,-39822
67832,62,10R（確変）,-38322
68194,312,3R（通常）,-40566
68353,158,10R*2（確変）,-42012
68383,17,3R（通常）,-39216
68462,78,3R（確変）,-39702
69723,1237,3R（確変）,-54096
69766,42,10R（確変）,-53646
69789,22,10R（確変）,-52146
69814,24,10R（確変）,-50646
